FID,ObjectID,FacilityID,Name,FromBreak,ToBreak,Area
0,1,1945,Location 1945 : 0 - 1800,0.000000000000000,1800.000000000000000,8046537.076919999900000
1,2,4016,Location 4016 : 0 - 1800,0.000000000000000,1800.000000000000000,21205386.052099999000000
2,3,4017,Location 4017 : 0 - 1800,0.000000000000000,1800.000000000000000,14720099.874399999000000
3,4,6197,Location 6197 : 0 - 1800,0.000000000000000,1800.000000000000000,24686730.248700000000000
4,5,68,Location 68 : 0 - 1800,0.000000000000000,1800.000000000000000,24686730.248700000000000
5,6,6541,Location 6541 : 0 - 1800,0.000000000000000,1800.000000000000000,27106100.350800000000000
6,7,6543,Location 6543 : 0 - 1800,0.000000000000000,1800.000000000000000,27330232.685400002000000
7,8,4018,Location 4018 : 0 - 1800,0.000000000000000,1800.000000000000000,25945316.299500000000000
8,9,6544,Location 6544 : 0 - 1800,0.000000000000000,1800.000000000000000,25945316.299500000000000
9,10,978,Location 978 : 0 - 1800,0.000000000000000,1800.000000000000000,38369197.367399998000000
10,11,6720,Location 6720 : 0 - 1800,0.000000000000000,1800.000000000000000,22347660.452199999000000
11,12,5996,Location 5996 : 0 - 1800,0.000000000000000,1800.000000000000000,32999424.124299999000000
12,13,6906,Location 6906 : 0 - 1800,0.000000000000000,1800.000000000000000,33051377.252599999000000
13,14,591,Location 591 : 0 - 1800,0.000000000000000,1800.000000000000000,19063220.338399999000000
14,15,4671,Location 4671 : 0 - 1800,0.000000000000000,1800.000000000000000,19657944.491400000000000
15,16,4334,Location 4334 : 0 - 1800,0.000000000000000,1800.000000000000000,22497962.070799999000000
16,17,706,Location 706 : 0 - 1800,0.000000000000000,1800.000000000000000,25084572.499299999000000
17,18,1614,Location 1614 : 0 - 1800,0.000000000000000,1800.000000000000000,25411835.326400001000000
18,19,1716,Location 1716 : 0 - 1800,0.000000000000000,1800.000000000000000,21836357.042700000000000
19,20,4397,Location 4397 : 0 - 1800,0.000000000000000,1800.000000000000000,22947777.642900001000000
20,21,1915,Location 1915 : 0 - 1800,0.000000000000000,1800.000000000000000,27333926.379799999000000
21,22,2831,Location 2831 : 0 - 1800,0.000000000000000,1800.000000000000000,27333926.379799999000000
22,23,5995,Location 5995 : 0 - 1800,0.000000000000000,1800.000000000000000,30634370.410500001000000
23,24,3744,Location 3744 : 0 - 1800,0.000000000000000,1800.000000000000000,21147321.876600001000000
24,25,5352,Location 5352 : 0 - 1800,0.000000000000000,1800.000000000000000,21720072.624600001000000
25,26,3963,Location 3963 : 0 - 1800,0.000000000000000,1800.000000000000000,21820155.969300002000000
26,27,5699,Location 5699 : 0 - 1800,0.000000000000000,1800.000000000000000,19387879.660599999000000
27,28,4624,Location 4624 : 0 - 1800,0.000000000000000,1800.000000000000000,35011797.885600001000000
28,29,6834,Location 6834 : 0 - 1800,0.000000000000000,1800.000000000000000,25364376.835600000000000
29,30,4312,Location 4312 : 0 - 1800,0.000000000000000,1800.000000000000000,37083450.234399997000000
30,31,5311,Location 5311 : 0 - 1800,0.000000000000000,1800.000000000000000,34825226.168799996000000
31,32,2975,Location 2975 : 0 - 1800,0.000000000000000,1800.000000000000000,36559447.454200000000000
32,33,1513,Location 1513 : 0 - 1800,0.000000000000000,1800.000000000000000,35453761.471699998000000
33,34,6990,Location 6990 : 0 - 1800,0.000000000000000,1800.000000000000000,38116090.235100001000000
34,35,6250,Location 6250 : 0 - 1800,0.000000000000000,1800.000000000000000,36281558.606100000000000
35,36,3189,Location 3189 : 0 - 1800,0.000000000000000,1800.000000000000000,40877628.806599997000000
36,37,344,Location 344 : 0 - 1800,0.000000000000000,1800.000000000000000,33084426.249600001000000
37,38,1514,Location 1514 : 0 - 1800,0.000000000000000,1800.000000000000000,39018401.870499998000000
38,39,1512,Location 1512 : 0 - 1800,0.000000000000000,1800.000000000000000,47042895.268200003000000
39,40,1756,Location 1756 : 0 - 1800,0.000000000000000,1800.000000000000000,50271755.264300004000000
40,41,5702,Location 5702 : 0 - 1800,0.000000000000000,1800.000000000000000,24686730.248700000000000
41,42,343,Location 343 : 0 - 1800,0.000000000000000,1800.000000000000000,38018739.232299998000000
42,43,6991,Location 6991 : 0 - 1800,0.000000000000000,1800.000000000000000,33268641.584899999000000
43,44,6883,Location 6883 : 0 - 1800,0.000000000000000,1800.000000000000000,35309296.393299997000000
44,45,6640,Location 6640 : 0 - 1800,0.000000000000000,1800.000000000000000,37668859.192900002000000
45,46,3670,Location 3670 : 0 - 1800,0.000000000000000,1800.000000000000000,38617027.544900000000000
46,47,5643,Location 5643 : 0 - 1800,0.000000000000000,1800.000000000000000,41793860.680600002000000
47,48,6542,Location 6542 : 0 - 1800,0.000000000000000,1800.000000000000000,37997655.438000001000000
48,49,6196,Location 6196 : 0 - 1800,0.000000000000000,1800.000000000000000,38921809.816500001000000
49,50,3867,Location 3867 : 0 - 1800,0.000000000000000,1800.000000000000000,44133596.052599996000000
50,51,2921,Location 2921 : 0 - 1800,0.000000000000000,1800.000000000000000,39002477.790299997000000
51,52,2107,Location 2107 : 0 - 1800,0.000000000000000,1800.000000000000000,41340015.584399998000000
52,53,6884,Location 6884 : 0 - 1800,0.000000000000000,1800.000000000000000,43897174.611299999000000
53,54,3264,Location 3264 : 0 - 1800,0.000000000000000,1800.000000000000000,39172595.576899998000000
54,55,3190,Location 3190 : 0 - 1800,0.000000000000000,1800.000000000000000,34071962.141300000000000
55,56,5638,Location 5638 : 0 - 1800,0.000000000000000,1800.000000000000000,36582743.322600000000000
56,57,3659,Location 3659 : 0 - 1800,0.000000000000000,1800.000000000000000,39374790.406300001000000
57,58,3865,Location 3865 : 0 - 1800,0.000000000000000,1800.000000000000000,42224186.457800001000000
58,59,6787,Location 6787 : 0 - 1800,0.000000000000000,1800.000000000000000,37661230.882799998000000
59,60,5637,Location 5637 : 0 - 1800,0.000000000000000,1800.000000000000000,44128586.864200003000000
60,61,335,Location 335 : 0 - 1800,0.000000000000000,1800.000000000000000,53256625.702200003000000
61,62,6384,Location 6384 : 0 - 1800,0.000000000000000,1800.000000000000000,44829323.208300002000000
62,63,1951,Location 1951 : 0 - 1800,0.000000000000000,1800.000000000000000,49192614.760799997000000
63,64,3671,Location 3671 : 0 - 1800,0.000000000000000,1800.000000000000000,49882424.622400001000000
64,65,6642,Location 6642 : 0 - 1800,0.000000000000000,1800.000000000000000,44933856.637999997000000
65,66,3262,Location 3262 : 0 - 1800,0.000000000000000,1800.000000000000000,46404394.271200001000000
66,67,6909,Location 6909 : 0 - 1800,0.000000000000000,1800.000000000000000,46501814.420699999000000
67,68,334,Location 334 : 0 - 1800,0.000000000000000,1800.000000000000000,40291727.692500003000000
68,69,583,Location 583 : 0 - 1800,0.000000000000000,1800.000000000000000,46404394.271200001000000
69,70,3548,Location 3548 : 0 - 1800,0.000000000000000,1800.000000000000000,54085035.912699997000000
70,71,6641,Location 6641 : 0 - 1800,0.000000000000000,1800.000000000000000,53697697.528099999000000
71,72,4107,Location 4107 : 0 - 1800,0.000000000000000,1800.000000000000000,48857715.787699997000000
72,73,2857,Location 2857 : 0 - 1800,0.000000000000000,1800.000000000000000,44178241.473499998000000
73,74,6318,Location 6318 : 0 - 1800,0.000000000000000,1800.000000000000000,21499824.976100001000000
74,75,1738,Location 1738 : 0 - 1800,0.000000000000000,1800.000000000000000,17659530.986499999000000
75,76,3658,Location 3658 : 0 - 1800,0.000000000000000,1800.000000000000000,31319253.257900000000000
76,77,6602,Location 6602 : 0 - 1800,0.000000000000000,1800.000000000000000,22875821.578400001000000
77,78,6621,Location 6621 : 0 - 1800,0.000000000000000,1800.000000000000000,22608878.804400001000000
78,79,4913,Location 4913 : 0 - 1800,0.000000000000000,1800.000000000000000,21157712.404599998000000
79,80,5097,Location 5097 : 0 - 1800,0.000000000000000,1800.000000000000000,21982367.966600001000000
80,81,7105,Location 7105 : 0 - 1800,0.000000000000000,1800.000000000000000,22026796.579500001000000
81,82,5651,Location 5651 : 0 - 1800,0.000000000000000,1800.000000000000000,34929651.675200000000000
82,83,3134,Location 3134 : 0 - 1800,0.000000000000000,1800.000000000000000,34929651.675200000000000
83,84,3684,Location 3684 : 0 - 1800,0.000000000000000,1800.000000000000000,34929651.675200000000000
84,85,5276,Location 5276 : 0 - 1800,0.000000000000000,1800.000000000000000,21157712.404599998000000
85,86,860,Location 860 : 0 - 1800,0.000000000000000,1800.000000000000000,21501391.884100001000000
86,87,7083,Location 7083 : 0 - 1800,0.000000000000000,1800.000000000000000,23186132.319400001000000
87,88,6601,Location 6601 : 0 - 1800,0.000000000000000,1800.000000000000000,21327836.362700000000000
88,89,6794,Location 6794 : 0 - 1800,0.000000000000000,1800.000000000000000,23810340.964400001000000
89,90,6600,Location 6600 : 0 - 1800,0.000000000000000,1800.000000000000000,25192628.026600000000000
90,91,45,Location 45 : 0 - 1800,0.000000000000000,1800.000000000000000,23690995.165399998000000
91,92,3353,Location 3353 : 0 - 1800,0.000000000000000,1800.000000000000000,22995835.329999998000000
92,93,7285,Location 7285 : 0 - 1800,0.000000000000000,1800.000000000000000,23690995.165399998000000
93,94,1511,Location 1511 : 0 - 1800,0.000000000000000,1800.000000000000000,32208512.172100000000000
94,95,565,Location 565 : 0 - 1800,0.000000000000000,1800.000000000000000,38512292.083200000000000
95,96,3103,Location 3103 : 0 - 1800,0.000000000000000,1800.000000000000000,35347475.042800002000000
96,97,5790,Location 5790 : 0 - 1800,0.000000000000000,1800.000000000000000,38308043.503300004000000
97,98,3862,Location 3862 : 0 - 1800,0.000000000000000,1800.000000000000000,36428167.823200002000000
98,99,1762,Location 1762 : 0 - 1800,0.000000000000000,1800.000000000000000,38255282.625100002000000
99,100,6988,Location 6988 : 0 - 1800,0.000000000000000,1800.000000000000000,45159869.802900001000000
100,101,342,Location 342 : 0 - 1800,0.000000000000000,1800.000000000000000,42373515.975599997000000
101,102,7362,Location 7362 : 0 - 1800,0.000000000000000,1800.000000000000000,37928702.615099996000000
102,103,6214,Location 6214 : 0 - 1800,0.000000000000000,1800.000000000000000,56192326.155000001000000
103,104,3866,Location 3866 : 0 - 1800,0.000000000000000,1800.000000000000000,48849597.134199999000000
104,105,3092,Location 3092 : 0 - 1800,0.000000000000000,1800.000000000000000,45231505.274999999000000
105,106,1739,Location 1739 : 0 - 1800,0.000000000000000,1800.000000000000000,58279517.085299999000000
106,107,4271,Location 4271 : 0 - 1800,0.000000000000000,1800.000000000000000,47309970.426500000000000
107,108,4494,Location 4494 : 0 - 1800,0.000000000000000,1800.000000000000000,60278459.443899997000000
108,109,2804,Location 2804 : 0 - 1800,0.000000000000000,1800.000000000000000,60234778.818200000000000
109,110,3672,Location 3672 : 0 - 1800,0.000000000000000,1800.000000000000000,69537724.050799996000000
110,111,3669,Location 3669 : 0 - 1800,0.000000000000000,1800.000000000000000,37422422.206299998000000
111,112,3260,Location 3260 : 0 - 1800,0.000000000000000,1800.000000000000000,39925945.539399996000000
112,113,6017,Location 6017 : 0 - 1800,0.000000000000000,1800.000000000000000,39387158.927199997000000
113,114,5567,Location 5567 : 0 - 1800,0.000000000000000,1800.000000000000000,54236515.790600002000000
114,115,3656,Location 3656 : 0 - 1800,0.000000000000000,1800.000000000000000,49400722.246299997000000
115,116,1380,Location 1380 : 0 - 1800,0.000000000000000,1800.000000000000000,48374664.459399998000000
116,117,6882,Location 6882 : 0 - 1800,0.000000000000000,1800.000000000000000,68572245.466999993000000
117,118,5998,Location 5998 : 0 - 1800,0.000000000000000,1800.000000000000000,27482012.133800000000000
118,119,5821,Location 5821 : 0 - 1800,0.000000000000000,1800.000000000000000,34946289.903600000000000
119,120,5820,Location 5820 : 0 - 1800,0.000000000000000,1800.000000000000000,36806832.925399996000000
120,121,5558,Location 5558 : 0 - 1800,0.000000000000000,1800.000000000000000,56266532.123400003000000
121,122,1967,Location 1967 : 0 - 1800,0.000000000000000,1800.000000000000000,56266532.123400003000000
122,123,760,Location 760 : 0 - 1800,0.000000000000000,1800.000000000000000,40285866.670800000000000
123,124,878,Location 878 : 0 - 1800,0.000000000000000,1800.000000000000000,40008304.244199999000000
124,125,3327,Location 3327 : 0 - 1800,0.000000000000000,1800.000000000000000,40008304.244199999000000
125,126,3521,Location 3521 : 0 - 1800,0.000000000000000,1800.000000000000000,43050826.828000002000000
126,127,4099,Location 4099 : 0 - 1800,0.000000000000000,1800.000000000000000,50068122.251500003000000
127,128,4469,Location 4469 : 0 - 1800,0.000000000000000,1800.000000000000000,39981294.727100000000000
128,129,761,Location 761 : 0 - 1800,0.000000000000000,1800.000000000000000,51005063.165399998000000
129,130,5735,Location 5735 : 0 - 1800,0.000000000000000,1800.000000000000000,51005063.165399998000000
130,131,5770,Location 5770 : 0 - 1800,0.000000000000000,1800.000000000000000,49600274.635399997000000
131,132,5568,Location 5568 : 0 - 1800,0.000000000000000,1800.000000000000000,37865798.752300002000000
132,133,6450,Location 6450 : 0 - 1800,0.000000000000000,1800.000000000000000,40812728.060199998000000
133,134,1471,Location 1471 : 0 - 1800,0.000000000000000,1800.000000000000000,50301578.819799997000000
134,135,3470,Location 3470 : 0 - 1800,0.000000000000000,1800.000000000000000,58117685.161399998000000
135,136,6986,Location 6986 : 0 - 1800,0.000000000000000,1800.000000000000000,42300483.606700003000000
136,137,6433,Location 6433 : 0 - 1800,0.000000000000000,1800.000000000000000,41137184.856799997000000
137,138,341,Location 341 : 0 - 1800,0.000000000000000,1800.000000000000000,57996881.911799997000000
138,139,5569,Location 5569 : 0 - 1800,0.000000000000000,1800.000000000000000,35849954.443800002000000
139,140,879,Location 879 : 0 - 1800,0.000000000000000,1800.000000000000000,37702820.334899999000000
140,141,3328,Location 3328 : 0 - 1800,0.000000000000000,1800.000000000000000,36544291.414600000000000
141,142,2599,Location 2599 : 0 - 1800,0.000000000000000,1800.000000000000000,37182740.051500000000000
142,143,2598,Location 2598 : 0 - 1800,0.000000000000000,1800.000000000000000,43189421.555699997000000
143,144,3424,Location 3424 : 0 - 1800,0.000000000000000,1800.000000000000000,39231301.781300001000000
144,145,2765,Location 2765 : 0 - 1800,0.000000000000000,1800.000000000000000,39650178.950400002000000
145,146,109,Location 109 : 0 - 1800,0.000000000000000,1800.000000000000000,35635474.436399996000000
146,147,6510,Location 6510 : 0 - 1800,0.000000000000000,1800.000000000000000,35635474.436399996000000
147,148,4327,Location 4327 : 0 - 1800,0.000000000000000,1800.000000000000000,35635474.436399996000000
148,149,6355,Location 6355 : 0 - 1800,0.000000000000000,1800.000000000000000,32445536.760299999000000
149,150,4326,Location 4326 : 0 - 1800,0.000000000000000,1800.000000000000000,38023046.555399999000000
150,151,4854,Location 4854 : 0 - 1800,0.000000000000000,1800.000000000000000,45111798.385799997000000
151,152,4405,Location 4405 : 0 - 1800,0.000000000000000,1800.000000000000000,47539644.966200002000000
152,153,1759,Location 1759 : 0 - 1800,0.000000000000000,1800.000000000000000,49717233.940499999000000
153,154,992,Location 992 : 0 - 1800,0.000000000000000,1800.000000000000000,32062407.029399998000000
154,155,5822,Location 5822 : 0 - 1800,0.000000000000000,1800.000000000000000,37147986.881899998000000
155,156,2718,Location 2718 : 0 - 1800,0.000000000000000,1800.000000000000000,39186327.454499997000000
156,157,190,Location 190 : 0 - 1800,0.000000000000000,1800.000000000000000,29172426.903299998000000
157,158,191,Location 191 : 0 - 1800,0.000000000000000,1800.000000000000000,32739872.563400000000000
158,159,6451,Location 6451 : 0 - 1800,0.000000000000000,1800.000000000000000,39105985.443999998000000
159,160,6453,Location 6453 : 0 - 1800,0.000000000000000,1800.000000000000000,40034234.238600001000000
160,161,5606,Location 5606 : 0 - 1800,0.000000000000000,1800.000000000000000,39186327.454499997000000
161,162,1510,Location 1510 : 0 - 1800,0.000000000000000,1800.000000000000000,38127089.980300002000000
162,163,4468,Location 4468 : 0 - 1800,0.000000000000000,1800.000000000000000,35369197.879699998000000
163,164,3847,Location 3847 : 0 - 1800,0.000000000000000,1800.000000000000000,44269666.385700002000000
164,165,4625,Location 4625 : 0 - 1800,0.000000000000000,1800.000000000000000,40811614.671999998000000
165,166,4672,Location 4672 : 0 - 1800,0.000000000000000,1800.000000000000000,48555762.049999997000000
166,167,1507,Location 1507 : 0 - 1800,0.000000000000000,1800.000000000000000,41033096.948100001000000
167,168,2844,Location 2844 : 0 - 1800,0.000000000000000,1800.000000000000000,50773145.595299996000000
168,169,977,Location 977 : 0 - 1800,0.000000000000000,1800.000000000000000,41322313.995999999000000
169,170,4338,Location 4338 : 0 - 1800,0.000000000000000,1800.000000000000000,41322313.995999999000000
170,171,4626,Location 4626 : 0 - 1800,0.000000000000000,1800.000000000000000,34101772.587099999000000
171,172,4395,Location 4395 : 0 - 1800,0.000000000000000,1800.000000000000000,36889810.611699998000000
172,173,1758,Location 1758 : 0 - 1800,0.000000000000000,1800.000000000000000,48667587.893500000000000
173,174,1509,Location 1509 : 0 - 1800,0.000000000000000,1800.000000000000000,38207714.792300001000000
174,175,4466,Location 4466 : 0 - 1800,0.000000000000000,1800.000000000000000,38501107.543799996000000
175,176,4455,Location 4455 : 0 - 1800,0.000000000000000,1800.000000000000000,33784983.275399998000000
176,177,6985,Location 6985 : 0 - 1800,0.000000000000000,1800.000000000000000,55162137.752200000000000
177,178,6345,Location 6345 : 0 - 1800,0.000000000000000,1800.000000000000000,55162137.752200000000000
178,179,4467,Location 4467 : 0 - 1800,0.000000000000000,1800.000000000000000,48158266.193200000000000
179,180,6984,Location 6984 : 0 - 1800,0.000000000000000,1800.000000000000000,36419363.875000000000000
180,181,6249,Location 6249 : 0 - 1800,0.000000000000000,1800.000000000000000,35014839.015500002000000
181,182,3471,Location 3471 : 0 - 1800,0.000000000000000,1800.000000000000000,36419363.875000000000000
182,183,5177,Location 5177 : 0 - 1800,0.000000000000000,1800.000000000000000,43243987.099500000000000
183,184,976,Location 976 : 0 - 1800,0.000000000000000,1800.000000000000000,37582830.923199996000000
184,185,5312,Location 5312 : 0 - 1800,0.000000000000000,1800.000000000000000,44100482.743699998000000
185,186,981,Location 981 : 0 - 1800,0.000000000000000,1800.000000000000000,45051747.099299997000000
186,187,5434,Location 5434 : 0 - 1800,0.000000000000000,1800.000000000000000,44100482.743699998000000
187,188,1316,Location 1316 : 0 - 1800,0.000000000000000,1800.000000000000000,39135191.650200002000000
188,189,2843,Location 2843 : 0 - 1800,0.000000000000000,1800.000000000000000,41202129.060300000000000
189,190,1317,Location 1317 : 0 - 1800,0.000000000000000,1800.000000000000000,49068906.360900000000000
190,191,5313,Location 5313 : 0 - 1800,0.000000000000000,1800.000000000000000,36964202.563100003000000
191,192,1402,Location 1402 : 0 - 1800,0.000000000000000,1800.000000000000000,58698092.894800000000000
192,193,7290,Location 7290 : 0 - 1800,0.000000000000000,1800.000000000000000,56096956.621799998000000
193,194,6452,Location 6452 : 0 - 1800,0.000000000000000,1800.000000000000000,51757649.450999998000000
194,195,1761,Location 1761 : 0 - 1800,0.000000000000000,1800.000000000000000,43654168.126100004000000
195,196,2217,Location 2217 : 0 - 1800,0.000000000000000,1800.000000000000000,59951272.372000001000000
196,197,4066,Location 4066 : 0 - 1800,0.000000000000000,1800.000000000000000,55028470.964599997000000
197,198,5542,Location 5542 : 0 - 1800,0.000000000000000,1800.000000000000000,53900473.788000003000000
198,199,2244,Location 2244 : 0 - 1800,0.000000000000000,1800.000000000000000,53900473.788000003000000
199,200,3472,Location 3472 : 0 - 1800,0.000000000000000,1800.000000000000000,36289264.797399998000000
200,201,2977,Location 2977 : 0 - 1800,0.000000000000000,1800.000000000000000,28977785.217099998000000
201,202,1760,Location 1760 : 0 - 1800,0.000000000000000,1800.000000000000000,41949130.261299998000000
202,203,5559,Location 5559 : 0 - 1800,0.000000000000000,1800.000000000000000,37883040.070500001000000
203,204,4470,Location 4470 : 0 - 1800,0.000000000000000,1800.000000000000000,40886507.531400003000000
